INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
UEI College-West Covina,West Covina,CA,91731-2806,-2,1,-117.90946,34.075984
California Career College,Canoga Park,CA,91303-2006,1,1,-118.601794,34.197566
Palladium Technical Academy Inc,Temple City,CA,91780,-2,1,-118.04358,34.091838
Los Angeles College of Aesthetics,Los Angeles,CA,90006,-2,1,-118.309491,34.044739
National Polytechnic College,Lakewood,CA,90712,1,1,-118.143809,33.860528
American Career College-Ontario,Ontario,CA,91764,2,2,-117.583814,34.068204
Asher College,Sacramento,CA,95825,2,1,-121.415767,38.587784
American Institute of Massage Therapy,Santa Ana,CA,92705-5411,-2,1,-117.847971,33.713238
University of East-West Medicine,Sunnyvale,CA,94085-3922,1,1,-121.997011,37.3864
Blake Austin College,Vacaville,CA,95688,-2,1,-121.983781,38.353851
SUM Bible College and Theological Seminary,El Dorado Hills,CA,95762,2,1,-121.054758,38.620833
San Joaquin Valley College-Rancho Cordova,Rancho Cordova,CA,95670-5642,1,1,-121.28191,38.595187
San Joaquin Valley College-Central Administrative Office,Visalia,CA,93277,-2,-2,-119.333362,36.298938
Universal Technical Institute of Northern California Inc,Sacramento,CA,95834,2,2,-121.529503,38.64575
Lemoore College,Lemoore,CA,93245,3,2,-119.823866,36.292431
West Hills Community College District,Coalinga,CA,93210,-2,-2,-120.351047,36.153306
Milan Institute-Clovis,Clovis,CA,93612,-2,1,-119.725573,36.810625
Beaumont Adult School,Beaumont,CA,92223,-2,1,-116.964728,33.951365
Gnomon,North Hollywood,CA,91606-3324,2,1,-118.394477,34.181916
Coachella Valley Beauty College,La Quinta,CA,92253,-2,1,-116.278254,33.708193
Valley College of Medical Careers,West Hills,CA,91304,1,1,-118.606731,34.221839
University of the West,Rosemead,CA,91770,1,1,-118.082964,34.045985
Paul Mitchell the School-San Diego,San Diego,CA,92101,-2,1,-117.160838,32.719128
Paul Mitchell the School-Sherman Oaks,Sherman Oaks,CA,91403,-2,1,-118.467289,34.154315
Carrington College-Stockton,Stockton,CA,95207-5509,2,1,-121.323199,37.998992
Healthcare Career College,Paramount,CA,90723-5258,2,1,-118.149645,33.889719
Coastline Beauty College,Fountain Valley,CA,92708,-2,1,-117.921471,33.728821
Milan Institute of Cosmetology-Vacaville,Vacaville,CA,95688,-2,1,-121.960688,38.370051
Mayfield College,Cathedral City,CA,92234,-2,1,-116.458827,33.790822
Academy of Esthetics and Cosmetology,San Fernando,CA,91340-3212,-2,1,-118.444228,34.285043
Borner's Barber College,Los Angeles,CA,90047,-2,1,-118.309291,33.95588
Paul Mitchell the School-Pasadena,Pasadena,CA,91101,-2,1,-118.133403,34.144765
San Francisco Institute of Esthetics & Cosmetology Inc,San Francisco,CA,94103,-2,1,-122.407083,37.777043
Laurus College,San Luis Obispo,CA,93401,2,2,-120.669519,35.2682
Healing Hands School of Holistic Health,Escondido,CA,92025,-2,1,-117.078694,33.124571
Career Development Institute Inc,Los Angeles,CA,90035,-2,1,-118.386067,34.045817
The Chicago School at Anaheim,Anaheim,CA,92806,2,1,-117.882312,33.804604
Woodland Community College,Woodland,CA,95776,3,2,-121.73533,38.660392
The Chicago School at Los Angeles,Los Angeles,CA,90017,3,2,-118.257045,34.049478
California Nurses Educational Institute,Rancho Mirage,CA,92270,-2,1,-116.393371,33.80042
Paul Mitchell the School-Sacramento,Sacramento,CA,95825,-2,1,-121.41594,38.594752
Providence Christian College,Pasadena,CA,91101,1,1,-118.141062,34.149327
National Career College,Panorama City,CA,91402,2,1,-118.446211,34.22245
Salon Success Academy-Fontana,Fontana,CA,92335,-2,1,-117.437904,34.099087
Salon Success Academy-Redlands,Redlands,CA,92373,-2,1,-117.218933,34.062342
San Joaquin Valley College-Hesperia,Hesperia,CA,92344-8086,2,1,-117.383116,34.420693
Milan Institute-Bakersfield,Bakersfield,CA,93301,-2,1,-119.023088,35.385513
Homestead Schools,Torrance,CA,90505,-2,1,-118.35009,33.809096
InterCoast Colleges-Rancho Cordova,Rancho Cordova,CA,95827,-2,1,-121.334243,38.561309
Beyond 21st Century Beauty Academy,Santa Fe Springs,CA,90670,-2,1,-118.041477,33.916443
Academy for Jewish Religion California,Los Angeles,CA,90045,1,1,-118.415744,33.97085
Angeles College,Los Angeles,CA,90010,1,1,-118.29903,34.061223
Angeles Institute,ARTESIA,CA,90701-2713,-2,1,-118.080741,33.875772
Paul Mitchell the School-Temecula,Temecula,CA,92591,-2,1,-117.146674,33.507316
West Coast University-Orange County,Anaheim,CA,92802-2905,3,2,-117.911811,33.81104
West Coast University-Ontario,Ontario,CA,91761-7698,2,2,-117.590035,34.066591
